		ELEVATION	BASEDEMAND	INITQUALITY	PRESSURE	HEAD	DEMAND	QUALITY
		ft	GPM	mg/L	psi	ft	GPM	mg/L
1	00:00:00	50,00	-694,40	1,00	112,61	309,88	-666,62	0,00
2	00:00:00	100,00	8,00	1,00	88,92	305,22	10,08	0,00
3	00:00:00	60,00	14,00	1,00	105,98	304,59	17,64	0,00
4	00:00:00	60,00	8,00	1,00	105,80	304,17	10,08	0,00
5	00:00:00	100,00	8,00	1,00	88,45	304,13	10,08	0,00
6	00:00:00	125,00	5,00	1,00	76,74	302,10	6,30	0,00
7	00:00:00	160,00	4,00	1,00	59,63	297,62	5,04	0,00
8	00:00:00	110,00	9,00	1,00	81,29	297,61	11,34	0,00
9	00:00:00	180,00	14,00	1,00	50,69	297,00	17,64	0,00
10	00:00:00	130,00	5,00	1,00	72,63	297,61	6,30	0,00
11	00:00:00	185,00	34,78	1,00	48,08	295,97	43,82	0,00
12	00:00:00	210,00	16,00	1,00	36,21	293,57	20,16	0,00
13	00:00:00	210,00	2,00	1,00	35,90	292,86	2,52	0,00
14	00:00:00	200,00	2,00	1,00	40,10	292,54	2,52	0,00
15	00:00:00	190,00	2,00	1,00	44,35	292,35	2,52	0,00
16	00:00:00	150,00	20,00	1,00	61,69	292,38	25,20	0,00
17	00:00:00	180,00	20,00	1,00	48,67	292,33	25,20	0,00
18	00:00:00	100,00	20,00	1,00	83,34	292,33	25,20	0,00
19	00:00:00	150,00	5,00	1,00	61,67	292,34	6,30	0,00
20	00:00:00	170,00	19,00	1,00	53,08	292,51	23,94	0,00
21	00:00:00	150,00	16,00	1,00	61,74	292,49	20,16	0,00
22	00:00:00	200,00	10,00	1,00	40,07	292,49	12,60	0,00
23	00:00:00	230,00	8,00	1,00	26,83	291,91	10,08	0,00
24	00:00:00	190,00	11,00	1,00	44,29	292,22	13,86	0,00
25	00:00:00	230,00	6,00	1,00	26,76	291,77	7,56	0,00
27	00:00:00	130,00	8,00	1,00	70,09	291,75	10,08	0,00
28	00:00:00	110,00	0,00	1,00	78,75	291,74	0,00	0,00
29	00:00:00	110,00	7,00	1,00	78,75	291,74	8,82	0,00
30	00:00:00	130,00	3,00	1,00	70,08	291,74	3,78	0,00
31	00:00:00	190,00	17,00	1,00	44,09	291,76	21,42	0,00
32	00:00:00	110,00	17,00	1,00	79,00	292,33	21,42	0,00
33	00:00:00	180,00	1,50	1,00	48,74	292,49	1,89	0,00
34	00:00:00	190,00	1,50	1,00	44,41	292,49	1,89	0,00
35	00:00:00	110,00	0,00	1,00	78,75	291,74	0,00	0,00
36	00:00:00	110,00	1,00	1,00	78,75	291,74	1,26	0,00
26	00:00:00	235,00	0,00	1,00	24,57	291,70	259,92	0,00
1	01:00:00	50,00	-694,40	1,00	113,45	311,83	-666,62	0,00
2	01:00:00	100,00	8,00	1,00	89,76	307,16	8,32	0,00
3	01:00:00	60,00	14,00	1,00	106,83	306,54	14,56	0,00
4	01:00:00	60,00	8,00	1,00	106,64	306,11	8,32	0,00
5	01:00:00	100,00	8,00	1,00	89,29	306,07	8,32	0,00
6	01:00:00	125,00	5,00	1,00	77,55	303,98	5,20	0,00
7	01:00:00	160,00	4,00	1,00	60,39	299,37	4,16	0,00
8	01:00:00	110,00	9,00	1,00	82,05	299,37	9,36	0,00
9	01:00:00	180,00	14,00	1,00	51,44	298,72	14,56	0,00
10	01:00:00	130,00	5,00	1,00	73,39	299,36	5,20	0,00
11	01:00:00	185,00	34,78	1,00	48,81	297,64	36,17	0,00
12	01:00:00	210,00	16,00	1,00	36,84	295,03	16,64	0,00
13	01:00:00	210,00	2,00	1,00	36,51	294,25	2,08	0,00
14	01:00:00	200,00	2,00	1,00	40,68	293,89	2,08	0,00
15	01:00:00	190,00	2,00	1,00	44,92	293,67	2,08	0,00
16	01:00:00	150,00	20,00	1,00	62,28	293,73	20,80	0,00
17	01:00:00	180,00	20,00	1,00	49,25	293,67	20,80	0,00
18	01:00:00	100,00	20,00	1,00	83,92	293,67	20,80	0,00
19	01:00:00	150,00	5,00	1,00	62,26	293,68	5,20	0,00
20	01:00:00	170,00	19,00	1,00	53,67	293,87	19,76	0,00
21	01:00:00	150,00	16,00	1,00	62,33	293,85	16,64	0,00
22	01:00:00	200,00	10,00	1,00	40,67	293,85	10,40	0,00
23	01:00:00	230,00	8,00	1,00	27,33	293,07	8,32	0,00
24	01:00:00	190,00	11,00	1,00	44,84	293,49	11,44	0,00
25	01:00:00	230,00	6,00	1,00	27,24	292,87	6,24	0,00
27	01:00:00	130,00	8,00	1,00	70,56	292,85	8,32	0,00
28	01:00:00	110,00	0,00	1,00	79,23	292,85	0,00	0,00
29	01:00:00	110,00	7,00	1,00	79,23	292,85	7,28	0,00
30	01:00:00	130,00	3,00	1,00	70,56	292,85	3,12	0,00
31	01:00:00	190,00	17,00	1,00	44,57	292,86	17,68	0,00
32	01:00:00	110,00	17,00	1,00	79,58	293,67	17,68	0,00
33	01:00:00	180,00	1,50	1,00	49,33	293,85	1,56	0,00
34	01:00:00	190,00	1,50	1,00	45,00	293,85	1,56	0,00
35	01:00:00	110,00	0,00	1,00	79,23	292,85	0,00	0,00
36	01:00:00	110,00	1,00	1,00	79,23	292,85	1,04	0,00
26	01:00:00	235,00	0,00	1,00	25,03	292,76	330,93	0,00
1	02:00:00	50,00	-694,40	1,00	114,16	313,47	-666,62	0,00
2	02:00:00	100,00	8,00	1,00	90,47	308,80	7,76	0,00
3	02:00:00	60,00	14,00	1,00	107,54	308,19	13,58	0,00
4	02:00:00	60,00	8,00	1,00	107,35	307,75	7,76	0,00
5	02:00:00	100,00	8,00	1,00	90,00	307,71	7,76	0,00
6	02:00:00	125,00	5,00	1,00	78,26	305,61	4,85	0,00
7	02:00:00	160,00	4,00	1,00	61,07	300,95	3,88	0,00
8	02:00:00	110,00	9,00	1,00	82,74	300,95	8,73	0,00
9	02:00:00	180,00	14,00	1,00	52,12	300,29	13,58	0,00
10	02:00:00	130,00	5,00	1,00	74,07	300,95	4,85	0,00
11	02:00:00	185,00	34,78	1,00	49,48	299,20	33,74	0,00
12	02:00:00	210,00	16,00	1,00	37,49	296,52	15,52	0,00
