		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR	QUALITY
		ft	in		GPM	fps	ft/kft		mg/L
1	00:00:00	2,40e+03	12,00	100,00	666,62	1,89	1,94	0,04	0,00
2	00:00:00	800,00	12,00	100,00	548,36	1,56	1,35	0,04	0,00
3	00:00:00	1,30e+03	8,00	100,00	108,18	0,69	0,48	0,04	0,00
4	00:00:00	1,20e+03	8,00	100,00	90,54	0,58	0,35	0,04	0,00
5	00:00:00	1000,00	12,00	100,00	80,46	0,23	0,04	0,05	0,00
6	00:00:00	1,20e+03	12,00	100,00	618,74	1,76	1,69	0,04	0,00
7	00:00:00	2,70e+03	12,00	100,00	612,44	1,74	1,66	0,04	0,00
8	00:00:00	1,20e+03	12,00	140,00	17,64	0,05	1,25e-03	0,03	0,00
9	00:00:00	400,00	12,00	100,00	589,76	1,67	1,55	0,04	0,00
10	00:00:00	1000,00	8,00	140,00	6,30	0,04	1,34e-03	0,04	0,00
11	00:00:00	700,00	12,00	100,00	572,12	1,62	1,46	0,04	0,00
12	00:00:00	1,90e+03	12,00	100,00	528,30	1,50	1,26	0,04	0,00
13	00:00:00	600,00	12,00	100,00	508,14	1,44	1,18	0,04	0,00
14	00:00:00	400,00	12,00	100,00	418,27	1,19	0,82	0,04	0,00
15	00:00:00	300,00	12,00	100,00	355,27	1,01	0,61	0,04	0,00
16	00:00:00	1,50e+03	8,00	100,00	87,35	0,56	0,33	0,04	0,00
17	00:00:00	1,50e+03	8,00	100,00	15,97	0,10	0,01	0,06	0,00
18	00:00:00	600,00	8,00	100,00	38,76	0,25	0,07	0,05	0,00
19	00:00:00	700,00	12,00	100,00	29,52	0,08	6,05e-03	0,06	0,00
20	00:00:00	350,00	12,00	100,00	4,32	0,01	1,72e-04	0,07	0,00
21	00:00:00	1,40e+03	8,00	100,00	23,40	0,15	0,03	0,05	0,00
22	00:00:00	1,10e+03	12,00	100,00	60,48	0,17	0,02	0,05	0,00
23	00:00:00	1,30e+03	8,00	100,00	18,34	0,12	0,02	0,06	0,00
24	00:00:00	1,30e+03	8,00	100,00	1,82	0,01	2,50e-04	0,08	0,00
25	00:00:00	1,30e+03	8,00	100,00	18,20	0,12	0,02	0,06	0,00
26	00:00:00	600,00	12,00	100,00	322,92	0,92	0,51	0,04	0,00
27	00:00:00	250,00	12,00	100,00	336,78	0,96	0,55	0,04	0,00
28	00:00:00	300,00	12,00	100,00	312,84	0,89	0,48	0,04	0,00
29	00:00:00	200,00	12,00	100,00	259,92	0,74	0,34	0,04	0,00
30	00:00:00	600,00	12,00	100,00	45,36	0,13	0,01	0,05	0,00
31	00:00:00	400,00	8,00	100,00	23,94	0,15	0,03	0,05	0,00
32	00:00:00	400,00	8,00	100,00	13,86	0,09	0,01	0,06	0,00
34	00:00:00	700,00	8,00	100,00	2,57	0,02	2,18e-04	0,03	0,00
35	00:00:00	1000,00	8,00	100,00	3,78	0,02	9,69e-04	0,07	0,00
